CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source,From,Reason Excluded,Status
aicase-x0378,New York University Langone Medical Center,"The High Performance Computing Facility of the New York University (NYU) Center for Health Informatics and Bioinformatics was established in 2009 to deliver forefront-computing capabilities to researchers at the NYU Langone Medical Center. The facility uses Globus Online, a free file transfer service hosted and powered by Amazon EC2, as well as Amazon S3 to allow medical informatics and bioinformatics researchers to share data and enable research computing needs that exceed local capacity limits.",,,,,,,,https://aws.amazon.com/solutions/case-studies/new-york-university/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0379,NextGen Healthcare,"NextGen Healthcare went all in on AWS in 2018, moving its legacy Microsoft Windows and SQL Server platforms to the AWS Cloud while maintaining HIPAA compliance. By running its business-critical applications on AWS, NextGen Healthcare has improved performance and can focus on enhancing the patient care experience.",,,,,,,,https://aws.amazon.com/solutions/case-studies/nextgen-healthcare/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0380,"NextGen Healthcare, Inc.","Owen from NextGen Healthcare, explains how the company developed a series of build and deployment pipelines using native AWS services in the highly regulated healthcare sector. Learn how AWS CodePipeline, AWS CodeCommit, AWS CodeBuild, and AWS CloudFormation can be used to build and deploy infrastructure and application code. Discover how AWS resources can be rapidly created and updated as part of a CI/CD pipeline while ensuring HIPAA compliance through approved/vetted AWS IAM Roles that AWS CloudFormation is permitted to assume.",,,,,,,,https://youtu.be/BLwskVnHbs4,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0381,Nexthink S.A.,"Nexthink Experience is a SaaS solution combining real-time analytics, automation and employee feedback across all endpoints to help IT teams delight people at work. Nexthink's cloud-native platform is deployed in multiple regions using a scalable platform on top of AWS infrastructure. Learn how Nexthink APIs leverage Amazon API Gateway, AWS Lambda, Amazon DynamoDB and AWS Transit Gateway to reduce cost and latency and improve customer experience.",,,,,,,,https://youtu.be/unF9tdYjqvU,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0382,NFL,"Creating a better experience for fans, players, and teams.",,,,,,,,https://aws.amazon.com/sports/nfl/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0383,NGA 911,Explore how NGA 911 uses AWS to modernize emergency response.,,,,,,,,https://aws.amazon.com/podcasts/41-fixthis-2021/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0384,Nike,"Getting a graph database to be performant and easy to use is very different from making a NoSQL (non-relational) database high-performing. Listen in as Todd Escalona of AWS talks with Marc Wangenheim, Senior Engineering Manager at <a href=""https://www.nike.com/"">Nike</a>, about how the company powers a number of applications via a social graph, built on <a href=""https://aws.amazon.com/neptune/"">Amazon Neptune</a>, which effectively maps millions of relationships among its users.",,,,,,,,https://aws.amazon.com/blogs/architecture/nike-a-social-graph-at-scale-with-amazon-neptune/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0385,Nintendo,"Nintendo is well known for its gaming console, but the global game maker is also committed to delivering its services via mobile devices, including on smartphones. To launch the ""Mario Kart Tour"" in 2019, Nintendo and DeNA adopted Amazon Aurora as their database, instead of using a self-managed MySQL (MySQL running on Amazon EC2). This ensured the performance and scalability necessary for users to play the game comfortably, and at the same time, greatly reduced the person-power required for operation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/nintendo-dena-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0386,Nium,"Discover how the global financial technology company built a global payments platform, using AWS to seamlessly expand into card issuing and processing across 35 markets.",,,,,,,,https://aws.amazon.com/solutions/case-studies/nium/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0387,Normative,"Normative runs its software-as-a-service carbon accounting engine on Amazon Web Services (AWS)â€”empowering customers with the insight to visualize, manage, and cut emissions.",,,,,,,,https://aws.amazon.com/solutions/case-studies/normative-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0388,Norstella,Norstellaâ€™s mission as a pharmaceutical intelligence specialist is to transform lives by helping its clients accelerate drug development and time to market.,,,,,,,,https://aws.amazon.com/solutions/case-studies/innovators/norstella?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0389,Norstella,"When pharma intelligence company Norstella was created from the merger of five pharmaceutical solution providers, it used Amazon Web Services (AWS) to build a scalable enterprise cloud environment from scratch. Using AWS Control Tower, where organizations can set up and govern a secure, multiaccount AWS environment, Norstella completed its migration in less than 5 months and paved the way for increased productivity and innovation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/norstella?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0390,Notorious Studios,"Video game startup Notorious Studios deployed a serverless game analytics pipeline on AWS to help accelerate the design process and improve the player experience of its first title game, Legacy: Steel & Sorcery.",,,,,,,,https://aws.amazon.com/solutions/case-studies/notorious-studios-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0391,Nubank,"With 4,500 microservices and over 110 million customers, Nubank depends on AWS and Honeycomb for deep observability.",,,,,,,,https://www.youtube.com/watch?v=WuouUE9kRqY,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0392,Nuix,"By offering its eDiscovery SaaS platform on the AWS Cloud, Nuix can add new regions in one week or less and reduce patching time from 4 hours to 45 minutes. Nuix, an Australian-based independent software vendor, helps national intelligence agencies, law enforcement bodies, and corporations process complex datasets for litigation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/nuix/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0393,Nykaa,"Find out how the Indian omnichannel retailer of beauty, fashion, and wellness brands scaled using AWS to generate business insights and achieve strategic growth through increased scalability and cost savings.",,,,,,,,https://aws.amazon.com/solutions/case-studies/nykaa/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0394,Old Mutual,Old Mutual in financial services reduced technical debt and time to market using Amazon ECS on AWS Fargate.,,,,,,,,https://aws.amazon.com/solutions/case-studies/old-mutual-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0395,OLX,"OLX, a global leader in online classified ads, prevents malicious bot events using AWS WAF Bot Control.",,,,,,,,https://aws.amazon.com/solutions/case-studies/olx-waf-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0396,Omni HR,"Omni HR achieves growth across Asia-Pacific, accelerating customer onboarding time by 50% using secure, cloud-native AWS services.",,,,,,,,https://aws.amazon.com/solutions/case-studies/omnihr-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0397,OMRON,"Omron built an HPC research environment, which requires large amounts of computational resources. With managed, scalable AWS services, they reduced time to build the research environment to minutes.",,,,,,,,https://aws.amazon.com/solutions/case-studies/omron-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0398,One Biosciences,"In the fast-moving biotech environment shaping the future of medical research, the emerging company, One BioSciences, has taken genetic sequencing to a new level. The company has developed a protocol able to analyse individual cells and the way in which they communicate with each other. It's a highly accurate process that could lead to new cancer treatments, but it also generates huge volumes of data. That's why One Biosciences has chosen to use Amazon Web Services (AWS) solutions to drive its research.",,,,,,,,https://aws.amazon.com/solutions/case-studies/one-biosciences?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0399,OneMain Financial,"OneMain Financial used AWS Step Functions and Amazon EC2 to build its own digital forensics solution, OneFor(ensics), saving costs and reducing the time between alert and investigation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/onemain-financial-aws-sfn-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0400,Ookla,"Ookla manages over 4,000 Speedtest reports they receive every second. Ookla's Data Pipeline on AWS allows for enriched reporting, data persistence and insights and analysis to share back with their customers. Josh and Marie discuss how Ookla's use of a Kinesis, Kinesis Firehose, and Athena overall allow for a partially serverless architecture to save time and money while processing large amounts of reports and data.",,,,,,,,https://youtu.be/kHPGZOpbnok,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0401,OpenBet,OpenBet created a geolocation service that offers flexibility and fraud detection capabilities to betting and gaming operators using AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/openbet-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0402,Optimize pricing,"Continuously run simulations to set optimal pricing for goods based on expiration dates, competition, location, and others.",,,,,,,,"https://aws.amazon.com/retail/merchandising-and-planning/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0403,Optimize subscriber experiences,"Create effective, personalized content that adapts in real-time based on user engagement and preference.",,,,,,,,"https://aws.amazon.com/media/content-production/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0404,"OUTSYSTEMS - SOFTWARE EM REDE, S.A.","In this episode of This Is My Architecture, you'll learn how OutSystems has decomposed their ""data monolith"" to allow them to more easily scale, increase performance, and improve security. You'll see how they choose purpose-built AWS database and data storage services for different types of data within their solution. You'll also learn how they leverage AWS Secrets Manager and AWS KMS to securely store data in a multi-tenant environment.",,,,,,,,https://youtu.be/1kWxymroGeE,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0405,Own,"The Own data platform makes owning SaaS data simple. It empowers customers to ensure the availability, compliance, and security of mission critical data, and unlocks new ways to use that data to transform business. Utilizing AWS technology allows Own to address customers' changing needs, and offer businesses a solution that allows them to efficiently process, analyze, and derive value from their data like never before.",,,,,,,,https://aws.amazon.com/solutions/case-studies/own?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0406,Ozius,"Australian enterprise Ozius developed its Biome solution using Amazon Aurora, which has helped the company ingest 10 times more environmental data 450 times faster compared to its previous system.",,,,,,,,http://aws.amazon.com/solutions/case-studies/ozius-case-study,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0407,Panalgo,"Panalgo uses AWS to provide companies in the life sciences with greater control over their data. Panalgo, a Norstella company, makes healthcare analytics simple through its Instant Health Data software. The company chose to build a solution that customers can deploy directly within their cloud environments. Using AWS Fargate, Amazon EMR, and Amazon EMR Serverless, Panalgo worked alongside the AWS team to build a deployed offering that is flexible and scalable. With this solution, Panalgoâ€™s customers will gain valuable insights quickly.",,,,,,,,https://aws.amazon.com/solutions/case-studies/case-study-panalgo/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0408,Papaya Mobile,"Papaya Mobile is a social network and gaming platform that found a reliable and affordable computing solution with AWS. By using Amazon EC2, Amazon EBS, and Amazon S3, Papaya Mobile can provide users with instant, affordable, and secure social networking.",,,,,,,,https://aws.amazon.com/solutions/case-studies/papaya-mobile/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0409,Pason Systems Corp,"Pason built a petabyte scalable customer-facing drilling datamart using AWS services. Ed Quan from Pason describes how Amazon EMR, along with Presto, can be used to provide a secure and seamless SQL interface to data that is stored in Amazon RDS and Hive. Hive is used to periodically ETL billions of sensor data points from microservices into S3 and EMRFS. You will also learn how multiple EMR clusters were used to provide high availability and distribute workloads across this solution.",,,,,,,,https://youtu.be/tVjrkpjWG5o,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0410,Payments Network,"PayNet delivers near real-time views of digital banking settlement positions by decoupling settlement reporting services and migrating to a modern data platform on AWS, with support from AWS Partner Sourced Group.",,,,,,,,https://aws.amazon.com/solutions/case-studies/paynet/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0411,Paytm,"Digital payments disruptor Paytm uses Amazon Web Services (AWS) to support growth and innovation. By moving SAP to the cloud, modernizing data infrastructure, and harnessing the Internet of Things (IoT) to connect millions of devices, Paytm has bolstered its customer-centric approach to fulfill its ambition of driving financial inclusion across India.",,,,,,,,https://aws.amazon.com/solutions/case-studies/innovators/paytm/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0412,Paytm,Paytmâ€”Indiaâ€™s leading payment and financial services platformâ€”optimized its costs and improved performance by migrating to AWS Graviton.,,,,,,,,https://aws.amazon.com/solutions/case-studies/paytm-graviton-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0413,Pearson,Educational leader Pearson streamlined and modernized its log analytics and improved its security and productivity by migrating from open-source Elasticsearch to Amazon OpenSearch Service (successor to Amazon Elasticsearch Service).,,,,,,,,https://aws.amazon.com/solutions/case-studies/pearson-elasticsearch-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0414,Pearson,Educational leader Pearson streamlined and modernized its log analytics and improved its security and productivity by migrating from open-source OpenSearch to Amazon OpenSearch Service.,,,,,,,,https://aws.amazon.com/solutions/case-studies/pearson-opensearch-service-case-study/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0415,Pentasoft,"By using serverless AWS infrastructure, Pentasoft achieved 23 percent average cost savings, increased agility, maintained 99.999 percent availability, and streamlined onboarding for new customers.",,,,,,,,https://aws.amazon.com/solutions/case-studies/pentasoft/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0416,People In Need Cambodia,People in Need Provides Lifesaving Early-Storm-Warning System Using AWS,,,,,,,,"https://ec2,%20elastic-beanstalk,%20elb,%20auto-scaling?did=cr_card&trk=cr_card",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0417,Personalization,Deliver better personalized experiences and increase customer engagement with individually curated offerings and communications.,,,,,,,,"https://aws.amazon.com/machine-learning/ml-use-cases/personalization/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0418,Personalized recommendations,Analyze customer data to create customized promotions and personalized product recommendations for customers.,,,,,,,,"https://aws.amazon.com/retail/digital-commerce
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0419,Petal,Credit card startup Petal redefined consumer credit worthiness using AWS services.,,,,,,,,https://aws.amazon.com/solutions/case-studies/petal-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0420,Petco,"To provide pet parents with convenience and personalization, Petco works with JBS Solutions, to build innovative microservices using AWS. These microservices, like the Right Food Finder, bring new features to the Petco app and website, and Petco continuously invents better ways to help pet parents quickly get the products and services they need.",,,,,,,,https://aws.amazon.com/blogs/industries/aws-is-how-petco-brings-greater-convenience-and-personalization-to-pet-parents/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0421,Philippines National Police,"Discover how the national police force in the Philippines transformed its licensing process for government and private personnel, using AWS to reduce processing times and enhance data security.",,,,,,,,https://aws.amazon.com/solutions/case-studies/philippines-national-police-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0422,Phillips 66,"With global operations and more than 14,000 employees worldwide, Phillips 66 must manage a complex and vast data infrastructure and continually seeks ways to optimize it. As part of its cloud migration journey, the energy company wanted to migrate its on-premises NetApp ONTAP environmentâ€”which hosted its enterprise applications and corporate file sharesâ€”to Amazon Web Services (AWS). It aimed to achieve a familiar on-premises experience, but with the agility, scalability, and security of AWS.",,,,,,,,https://aws.amazon.com/solutions/case-studies/phillips66-migration-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0423,Phillips 66,Phillips 66 in the energy industry increased visibility and productivity using Amazon Managed Grafana and Amazon Managed Service for Prometheus.,,,,,,,,https://aws.amazon.com/solutions/case-studies/phillips-66-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0424,Pi Securities,"Pi Securities, leading brokerage company based in Thailand, developed Pi Financial, an application that allows investors to securely trade and manage their assets with ease, all while keeping track of their portfolio growth and achieving their financial goals, after migrating to AWS.",,,,,,,,https://aws.amazon.com/solutions/case-studies/quicksight-pi-securities/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0425,Pipedrive,"Pipedrive migrated its customer relationship management infrastructure to AWS to improve scalability. After migrating more than 100,000 customers, it boosted performance and reduced costs.",,,,,,,,https://aws.amazon.com/solutions/case-studies/pipedrive-case-study/?awsm.page-customer-references-cards=1&did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0426,Planogram optimization,"Dynamically update planograms based on new products, changing inventory levels, sales trends and competitor data.",,,,,,,,"https://aws.amazon.com/retail/advanced-data-insights/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0427,Portal,"As blockchain technology progresses, companies in this space need to build secure, scalable infrastructure while keeping pace with rapid innovation. Portal, a startup that specializes in blockchain payments and infrastructure, needed to manage this delicate balance. Customers that range from large fintech corporations to seed-stage startups rely on Portalâ€™s embedded wallet functionality for secure token management and digital money transfers.",,,,,,,,https://aws.amazon.com/solutions/case-studies/portal-anjuna-nitro-enclaves-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0428,Portbase,"Portbase migrated its data platform to AWS so its developers could have complete control over its products and manage its services end-to-end. During global supply chain disruption, its platform helps keep goods on the move. Itâ€™s now one of the largest port networks in Europe.",,,,,,,,https://aws.amazon.com/solutions/case-studies/portbase?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0429,POS Malaysia,"Pos Malaysia migrated its critical applications to the AWS Cloud. Since the migration, Pos Malaysia has cut IT costs by half, improved the development time of new services by 80 percent, and reduced downtime to zero.",,,,,,,,https://aws.amazon.com/solutions/case-studies/pos-malaysia/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0430,Prezzee,"Prezzee scaled 40x, improved security, and reduced time to market by 67% by using AWS Lambda, AWS Fargate, and Amazon Aurora.",,,,,,,,https://aws.amazon.com/solutions/case-studies/prezzee-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0431,Principal Financial Group,"Principal Financial GroupÂ® collaborated with AWS experts to enhance cloud security, implementing efficient practices that reduced AWS service approval times from months to weeks.",,,,,,,,https://aws.amazon.com/solutions/case-studies/principal-financial-group-global-services/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0432,Prodigy,"Prodigy Education wanted to increase developer autonomy and enhance the reliability and scalability of its gamed-based learning offering. In 2019, the company migrated to Amazon Elastic Kubernetes Service (Amazon EKS), a managed Kubernetes service to run Kubernetes on Amazon Web Services (AWS). By migrating to Amazon EKS and using open-source tools, Prodigy Education boosted staff productivity, increased the reliability of its games, saved on compute costs, and improved scalability.",,,,,,,,https://aws.amazon.com/solutions/case-studies/prodigy-education-eks-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0433,Profile Software,"Profile Software chooses Amazon Web Services (AWS) for its customersâ€™ workloads in the cloud. The software specialist works with banking and wealth management organizations, delivering financial services applications and helping them digitally transform their businesses. Apostolos Kritikopoulos, Profile Softwareâ€™s IT technical director, says the company is confident using AWS, allowing clients to benefit from secure, cutting-edge, cost-effective cloud functionality.",,,,,,,,https://aws.amazon.com/solutions/case-studies/profile-software/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0434,Property Finder,"Property Finder Group is the leading real estate digital platform in the Middle East with Property Finder UAE (propertyfinder.ae) being the largest real estate platform in the UAE. They offer a wide range of residential and commercial properties for sale and rent. Property Finder are running their entire set of production applications (around 250+) on Amazon EKS with 100% spot instances. They migrated from On-Demand EC2 instance based monolith deployment to a microservices based architecture on Amazon EKS. YoY, they have seen almost a 15% reduction in costs after migrating to EKS. They use a combination of event based architecture with Rabbit MQ, Lambda, EventBridge and EKS with Spot instances.",,,,,,,,https://youtu.be/cnZeOytEkIM,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0435,"Prove, Inc fka Payfone, Inc.",Prove modernized its identity solutions to enrich a frictionless consumer experience using AWS-managed services.,,,,,,,,https://aws.amazon.com/solutions/case-studies/prove-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0436,PureWeb,"PureWeb intelligently routes streaming requests from any device, anywhere on the planet, with decisioning based on network latency, and system preference and load. PureWeb's architecture leverages both serverless and provisioned compute to deliver 3D streaming for limitless experiences.",,,,,,,,https://youtu.be/hrhBOOrR5v0,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0437,Purina,"Purina, a consumer packaged goods and animal nutrition leader, built a consumer identity solution for its services using Amazon Cognito.",,,,,,,,https://aws.amazon.com/solutions/case-studies/purina-amazon-cognito-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0438,Q2,"Q2, Inc., a financial experience company, partnered with AWS Partner Presidio to migrate its largest revenue-generating digital banking product to AWS, avoiding a costly on-premises hardware investment. Q2 set an ambitious goal to decrease costs by 25% to better serve each customer. The AWS migration would prove integral to achieving this goal. To satisfy a tight timeline and rigid uptime requirements, Presidio developed an automated, parallel migration platform called â€œQ2 Migration Managerâ€ (Q2MM) to accelerate the project.",,,,,,,,https://aws.amazon.com/solutions/case-studies/q2-presidio/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0439,Qdrant,"With its managed vector search database solution hosted on Amazon Web Services (AWS), Qdrant, an AWS Partner, aims to help companies quickly and simply find the information they need.",,,,,,,,https://aws.amazon.com/solutions/case-studies/qdrant-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0440,Qlik,"Qlik is a worldwide leader in visual analytics and business intelligence, with a mission to help customers see the whole story that lives within their data. The company wanted to develop a SaaS-based delivery model on AWS for its Qlik Sense product. Using AWS and working with Slalom, Qlik was able to release a beta product to the public in 18 weeks, meeting an aggressive company goal.",,,,,,,,https://aws.amazon.com/solutions/case-studies/qlik/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0441,Raiffeisen Bank International and Raiffeisen-Network-Banks,"Raiffeisen Bank International migrated applications using Amazon Database Migration Accelerator, AWS Auto Scaling, and AWS Cost Optimization.",,,,,,,,https://aws.amazon.com/solutions/case-studies/rbi-video-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0442,"Rainforest Connection, Wefarm",The team explores how cell phones can preserve rainforests and connect smallholder farmers via SMS.,,,,,,,,https://aws.amazon.com/podcasts/02-cell-phones-from-rainforests-to-farms/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0443,Rapid7,Rapid7 in the security industry strengthened its network security by improving scalability and observability using AWS Network Firewall.,,,,,,,,https://aws.amazon.com/solutions/case-studies/rapid7-network-firewall-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0444,Rappi,"In this episode of This Is My Architecture, you'll learn how the financial vertical of Rappi (Rappi Pay) offers Kubernetes as a service to more easily scale, increase performance, and improve security. You'll see how they choose purpose-built AWS database and data caching services for different types of data within their solution. You'll also see how they leverage AWS CloudFront and AWS Direct Connect in a multi-tenant environment.",,,,,,,,https://youtu.be/i4ueYgjVDCw,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0445,Ravensbourne University London,"By using AWS Elemental for its video streaming services, Ravensbourne University has been able to reach a higher number of students with higher satisfaction. Ravensbourne is an innovative, industry-focused university located in the heart of London that specializes in the cross-section between creativity and technology. The university uses AWS as a way to educate their broadcast and television students by streaming both live and recorded content.",,,,,,,,https://aws.amazon.com/solutions/case-studies/ravensbourne-univeristy/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0446,RDS,"From serverless services to disruptive content delivery solution Amazon CloudFrontâ€”Radio Dimensione Suono (RDS) uses Amazon Web Services (AWS) to operate efficiently and innovate without boundaries. In this video, Andrea Giovagnoni, chief technology officer at RDS, talks about the cloud technologies that have made the most difference to Italyâ€™s best-loved radio station.",,,,,,,,https://aws.amazon.com/solutions/case-studies/rds-generative-ai/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0447,Redcat,"By migrating its Windows and Linux workloads to AWS, Redcat can handle millions of login requests an hour and say ""yes"" to even the largest loyalty-campaign requests from its customers.",,,,,,,,https://aws.amazon.com/solutions/case-studies/redcat-case-studies/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0448,Redfin,"Redfin relies on Amazon SES to deliver millions of daily property listing emails to customers, get accurate bounce and complaint notifications, and cut costs.",,,,,,,,https://aws.amazon.com/solutions/case-studies/redfin-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0449,RedShield,RedShield enhanced the scalability and resiliency of its web-application-security services using AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/redshield-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0450,Remote Legal,Remote Legal in the professional services industry built a remote deposition solution for attorneys using AWS services.,,,,,,,,https://aws.amazon.com/solutions/case-studies/remote-legal-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0451,Report generation,"Automatically generate financial reports, summaries, and projections, saving time and reducing errors.",,,,,,,,"https://aws.amazon.com/quicksight/q/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS,"v2, v3",Not truly AI,Excluded
aicase-x0452,RepricerExpress,"RepricerExpress reduced costs by $60,000 a year and obtained larger, higher-performing compute resources by migrating a Windows Server and SQL Server environment to AWS from Microsoft Azure.",,,,,,,,https://aws.amazon.com/solutions/case-studies/repricerexpress-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0453,Repsol,Integrated energy company Repsol optimized its SAP systems using AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/repsol-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0454,Resmed Corp,"ResMed built â€˜myAir', a patient engagement platform, that helps patients track and engage with their sleep therapy for conditions like sleep apnea. ResMed moved from an on-premises environment to a fully serverless architecture on AWS to power myAir. The solution uses services such as AWS AppSync to manage data flow from the patient mobile and website experience, Amazon Kinesis Video Streams for IOT data, AWS Lambda, Amazon SNS, Amazon Dynamo DB, Amazon S3 and CloudFront to scale globally, improve system performance and provide proactive care notifications.",,,,,,,,https://youtu.be/kszaIJEnKPk,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0455,Rexera,"Rexera revolutionizes real estate by automating the manual, error-prone closing workflows in real estate transactions, minimizing human involvement so that real estate professionals can speed up transactions, reduce friction, and lower costs.",,,,,,,,https://aws.amazon.com/solutions/case-studies/bedrock-rexera/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
